artist_id,master_id,main_release_id,release_country,artist,title,year,album_length,tracks,release_type,genres,styles,artist_profile
288865,239125,1745320,US,The New York Rock Ensemble,Freedomburger,1972,34.58,12,"['LP', 'Album']",['Rock'],"['Folk Rock', 'Country Rock', 'Pop Rock', 'Classic Rock']","The New York Rock & Roll Ensemble was formed by three Juilliard students ([a=Michael Kamen], [a=Martin Fulterman] ---now known as [a=Mark Snow]--- and [a=Dorian Rudnytsky]) as well as two rock musicians, [a=Brian Corrigan] and [a=Clifton Nivison].  Beginning with their 1968 debut album they broke tradition by using classical music instruments in rock songs and rock instruments in classical pieces. This fusion, daring at the time, impressed legendary conductor [a=Leonard Bernstein] so much that he invited the group to appear at one of his Young People's Concerts with the New York Philharmonic Orchestra where they performed their signature song ""Brandenburg"", based on the first movement of Bach's Fifth Brandenburg Concerto.

Brandenburg appeared on the group's second LP ""Faithful Friends"" (1969). This LP had higher production values than their first and contained many of the songs that were part of their live act.  Their third album, ""Reflections"" (1970), was actually recorded prior to Faithful Friends and was a collaboration with Greek composer [a=Manos Hadjidakis] on the score for a film that was never produced.  Rhythm guitarist Brian Corrigan departed after the third album and after being part of the only movie appearance by the group, ""Zachariah"".

The band then shortened its name to The New York Rock Ensemble and switched to Columbia Records.  Roll Over (1971) was their most overtly rock album and, at that time, their biggest seller.  Their album Freedomburger (1972) was an uneven collection of songs. Soon after the tour supporting this album the band dispersed.  Kamen, joined by Rudnytsky and other musicians, gave it one last try when they released New York Rock in 1973."
7144854,0,13601910,US,The Crystal Mansion,The Crystal Mansion,1972,0.0,10,"['Album', 'Stereo']",['Rock'],[],
1544071,575934,1894684,US,Pilot (9),Pilot,1972,35.83,8,"['LP', 'Album']",['Rock'],['Classic Rock'],"Group from London, formed in 1971. While Micky Waller was on a trip to California, he met and played with Bruce Stephens, who had just completed playing with Blue Cheer. Waller returned to England and met with Martin Quittenton. They formed Pilot with Neville Whitehead, Bruce Stephens and Leigh Stephens (unrelated). Between 1971 and 1973 they released one album and one single. A second album was slated for release but never saw the light of day: Point Of View, RCA Victor LSP-4825 (1973).

Do not confuse with [a64481]."
1518097,731584,1632787,US,Wolfe (4),Wolfe,1972,38.42,12,"['LP', 'Album']",['Rock'],"['Blues Rock', 'Psychedelic Rock', 'Classic Rock']",Group
508397,361800,1728912,US,Sigmund Snopek III,Virginia Woolf,1972,27.58,9,"['LP', 'Album']",['Rock'],"['Art Rock', 'Prog Rock']","American multi-instrumentalist, performer, composer and band leader, active from the late 1960's starting in Milwaukee, Wisconsin (USA) with [a3245384]. In 1972 he released his cult album (Who's Afraid Of) Virginia Woolf. Born on October 25th 1950, he is frequently featured on recordings by [a87643], [a406171] and others. In 2015, he was inducted into the Wisconsin Area Music Industry Hall of Fame.
"
4064355,0,3830871,US,"Indelible, Inc.",For Now 2,1972,28.73,10,"['LP', 'Album']",['Rock'],"['Religious', 'Hard Rock', 'Psychedelic Rock']",
716636,684157,1846666,US,Alex Taylor (4),Dinnertime,1972,39.08,8,"['LP', 'Album']",['Rock'],"['Blues Rock', 'Southern Rock']","American blues and southern rock singer, brother of  singer / songwriters [a262944], [a1075622] and [a670257]. He was born February 28, 1947 in Boston, Massachusetts and died March 12, 1993."
451329,90418,741968,UK,John Lennon & Yoko Ono,Some Time In New York City,1972,0.0,18,"['LP', 'Album', 'Stereo']",['Rock'],"['Rock & Roll', 'Art Rock', 'Avantgarde', 'Noise Rock']",
331215,509320,5882730,US,Atlanta Rhythm Section,Atlanta Rhythm Section,1972,0.0,10,"['LP', 'Album']",['Rock'],"['Southern Rock', 'Pop Rock']","Atlanta Rhythm Section, sometimes abbreviated ARS, is an American Southern rock band. The band unofficially formed in 1970 as former members of the Candymen and the Classics IV became the session band for the newly opened [l=Studio One, Doraville] in Doraville, Georgia.
The band still tours with some of its original members, playing mostly festivals and other nostalgia-themed concerts.
"
520017,598288,1998375,US,Peter Kaukonen,Black Kangaroo,1972,36.8,8,"['LP', 'Album', 'Stereo']",['Rock'],"['Blues Rock', 'Psychedelic Rock']","b. September 23, 1945
Younger brother of [a361998]"
